"Source:","C:\Users\Kyle\Documents\KiCAD\MAX2769FT2232H\MAX2769FT2232H.sch"
"Date:","19/04/2021 06:03:07"
"Tool:","Eeschema (5.1.9)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","95"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Digi-Key"
"1","1","C1","27 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 27PF 50V C0G/NP0 0402 5%","490-12651-1-ND"
"2","4","C2, C9, C12, C46","470 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 470PF 50V C0G/NP0 0402 10%","490-6242-1-ND"
"3","26","C3, C4, C5, C6, C7, C8, C20, C23, C27, C29, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C49, C50, C51, C52, C53","100 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 0.1UF 16V X7R 0402 10%","490-6328-1-ND"
"4","4","C10, C11, C47, C48","10 nF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 10000PF 10V X7R 0402 10%","399-7759-1-ND"
"5","7","C13, C14, C15, C16, C17, C18, C19","100 pF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 100PF 50V C0G/NP0 0402 5%","399-3194-1-ND"
"6","6","C21, C24, C25, C28, C30, C31","1.0 uF","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 1UF 6.3V X6S 0402","490-12233-1-ND"
"7","2","C22, C26","NC","MAX2769FT2232H:C","MAX2769FT2232H:C_0402_1005Metric","~","CAP CER 10000PF 10V X7R 0402","399-7759-1-ND"
"8","2","C32, C33","4.7 uF","MAX2769FT2232H:C","MAX2769FT2232H:C_0805_2012Metric","~","CAP CER 4.7UF 6.3V X7R 0805","399-15725-1-ND"
"9","1","C34","3.3 uF","MAX2769FT2232H:C","MAX2769FT2232H:C_0805_2012Metric","~","CAP CER 3.3UF 16V X7R 0805","490-13309-1-ND"
"10","2","FB1, FB2","Ferrite_Bead","MAX2769FT2232H:Ferrite_Bead","MAX2769FT2232H:L_0805_2012Metric","~","FERRITE BEAD 1 KOHM 0805 1LN","490-1041-1-ND"
"11","4","H1, H2, H3, H4","MountingHole_Pad","MAX2769FT2232H:MountingHole_Pad","MAX2769FT2232H:MountingHole_2.2mm_M2_Pad_Via","~","",""
"12","1","J1","Conn_Coaxial","MAX2769FT2232H:Conn_Coaxial","MAX2769FT2232H:SMA_Amphenol_132203-12_Horizontal"," ~","CONN SMA JACK R/A 50 OHM PCB","ACX1232-ND"
"13","1","J2","USB_A","MAX2769FT2232H:USB_A","MAX2769FT2232H:USB_A_CNCTech_1001-011-01101_Horizontal"," ~","CONN PLUG USB2.0 TYPEA 4P SMD RA","WM3983CT-ND"
"14","1","J3","RF_Shield_One_Piece","MAX2769FT2232H:RF_Shield_One_Piece","MAX2769FT2232H:Laird_Technologies_BMI-S-103_26.21x26.21mm","~","RF SHIELD 1.032""X1.032"" SLDR 1PC","903-1008-1-ND"
"15","1","J4","Conn_Coaxial","MAX2769FT2232H:Conn_Coaxial","MAX2769FT2232H:MMCX_Molex_73415-1471_Vertical"," ~","CONN MMCX JACK STR 50 OHM PCB","ARF1904-ND"
"16","1","L1","33 nH","MAX2769FT2232H:L","MAX2769FT2232H:L_0402_1005Metric","~","FIXED IND 33NH 350MA 580 MOHM","490-2629-1-ND"
"17","1","R1","20k","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 20K OHM 1% 1/10W 0603","2019-RK73H1JTTD2002FCT-ND"
"18","5","R2, R4, R5, R7, R11","0","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 0 OHM JUMPER 0603","2019-RK73Z1JTTDCT-ND"
"19","5","R3, R6, R8, R9, R10","NC","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 0 OHM JUMPER 0603","2019-RK73Z1JTTDCT-ND"
"20","1","R12","2.2k","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 2.2K OHM 1% 1/10W 0603","2019-RK73H1JTTD2201FCT-ND"
"21","2","R13, R17","1k","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 1K OHM 1% 1/8W 0603","2019-RK73H1JTTD1001FCT-ND"
"22","1","R14","12k","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 12K OHM 1% 1/10W 0603","2019-RK73H1JTTD1202FCT-ND"
"23","3","R15, R16, R18","10k","MAX2769FT2232H:R_US","MAX2769FT2232H:R_0603_1608Metric","~","RES 10K OHM 1% 1/10W 0603","2019-RK73H1JTTD1002FCT-ND"
"24","1","U1","MAX2769ETI+T","MAX2769FT2232H:MAX2769ETI+T","MAX2769FT2232H:MAX2769ETI&plus_T","","RF RX GNSS 1575.42MHZ 28TQFN","MAX2769BETI/V+-ND"
"25","2","U2, U3","TPS717285DCKR","MAX2769FT2232H:TPS717285DCKR","MAX2769FT2232H:TPS717285DCKR","","IC REG LINEAR 2.85V 150MA SC70-5","296-19649-1-ND"
"26","1","U4","NCP164CSN330T1G","MAX2769FT2232H:NCP164CSN330T1G","MAX2769FT2232H:TSOT-23-5","https://www.onsemi.com/pub/Collateral/NCP164C-D.PDF","LDO 300 MA AD 3.3V, ULTRA","488-NCP164CSN330T1GCT-ND"
"27","1","U5","93LC66BT-I_OT","MAX2769FT2232H:93LC66BT-I_OT","MAX2769FT2232H:93LC66BT-I&slash_OT","","IC EEPROM 4K SPI 2MHZ SOT23-6","93LC66BT-I/OTCT-ND"
"28","1","U6","FT2232H-Interface_USB","MAX2769FT2232H:FT2232H-Interface_USB","MAX2769FT2232H:LQFP-64_10x10mm_P0.5mm","","IC USB HS DUAL UART/FIFO 64-LQFP","768-1024-1-ND"
"29","1","U7","74LVC1G74","MAX2769FT2232H:74LVC1G74","MAX2769FT2232H:SOT-833-1","https://assets.nexperia.com/documents/data-sheet/74LVC1G74.pdf","IC FF D-TYPE SNGL 1BIT 8XSON","1727-3558-1-ND"
"30","1","U8","74LVC1G04","MAX2769FT2232H:74LVC1G04","MAX2769FT2232H:SOT-353_SC-70-5","https://assets.nexperia.com/documents/data-sheet/74LVC1G04.pdf","IC INVERTER 1CH 1-INP 5TSSOP","1727-2871-1-ND"
"31","2","U9, U10","74LVC374","MAX2769FT2232H:74LVC374","MAX2769FT2232H:TSSOP-20_4.4x6.5mm_P0.65mm","https://assets.nexperia.com/documents/data-sheet/74LVC374A.pdf","IC FF D-TYPE SNGL 8BIT 20TSSOP","1727-4034-1-ND"
"32","1","U11","74HC2G04","MAX2769FT2232H:74HC2G04","MAX2769FT2232H:SOT-363_SC-70-6","https://assets.nexperia.com/documents/data-sheet/74HC_HCT2G04.pdf","IC INVERTER 2CH 2-INP 6TSSOP","1727-6045-1-ND"
"33","1","X1","Taiten-16.368MHz","MAX2769FT2232H:Taiten-16.368MHz","MAX2769FT2232H:TXETCDSANF-16.368000","","XTAL OSC TCXO 16.3680MHZ SNWV","1664-1271-1-ND"
"34","1","X2","SIT2024BA-S8-33E-12.00000E","MAX2769FT2232H:SIT2024BA-S8-33E-12.00000E","MAX2769FT2232H:SIT2024BA-S8-33E-8.000000E","","MEMS OSC XO 12.0000MHZ LVCMOS LV","1473-SIT2024BA-S8-33E-12.000000G-ND"
